"","Terms","Docs","value","category"
"322","amidst","Cluster1",0.00934579439252336,"0.25"
"323","amity","Cluster1",0,"0.25"
"324","among","Cluster1",0.280373831775701,"0.5"
"325","amongst","Cluster1",0,"0.25"
"326","amount","Cluster1",0.00934579439252336,"0.25"
"327","ample","Cluster1",0.0280373831775701,"0.25"
"328","amply","Cluster1",0,"0.25"
"329","anarchy","Cluster1",0.0280373831775701,"0.25"
"330","ancestors","Cluster1",0.0186915887850467,"0.25"
"331","anchor","Cluster1",0.00934579439252336,"0.25"
"332","ancient","Cluster1",0.00934579439252336,"0.25"
"333","andes","Cluster1",0,"0.25"
"334","andthat","Cluster1",0,"0.25"
"335","anew","Cluster1",0,"0.25"
"336","anewremembering","Cluster1",0,"0.25"
"337","angel","Cluster1",0,"0.25"
"338","angels","Cluster1",0.0186915887850467,"0.25"
"339","anger","Cluster1",0,"0.25"
"340","angry","Cluster1",0,"0.25"
"341","anguish","Cluster1",0,"0.25"
"342","anguished","Cluster1",0,"0.25"
"343","animated","Cluster1",0,"0.25"
"344","animates","Cluster1",0,"0.25"
"345","animation","Cluster1",0.00934579439252336,"0.25"
"346","animosities","Cluster1",0.00934579439252336,"0.25"
"347","animosity","Cluster1",0,"0.25"
"348","annals","Cluster1",0,"0.25"
"349","annihilation","Cluster1",0,"0.25"
"350","anniversary","Cluster1",0.00934579439252336,"0.25"
"351","announced","Cluster1",0.00934579439252336,"0.25"
"352","annual","Cluster1",0.00934579439252336,"0.25"
"353","annually","Cluster1",0,"0.25"
"354","annul","Cluster1",0,"0.25"
"355","another","Cluster1",0.0747663551401869,"0.25"
"356","anotherthere","Cluster1",0.00934579439252336,"0.25"
"357","anotheruntil","Cluster1",0,"0.25"
"358","answer","Cluster1",0.00934579439252336,"0.25"
"359","answered","Cluster1",0.0280373831775701,"0.25"
"360","antagonist","Cluster1",0,"0.25"
"361","anthony","Cluster1",0,"0.25"
"362","anticipate","Cluster1",0.00934579439252336,"0.25"
"363","anticipated","Cluster1",0.0186915887850467,"0.25"
"364","anticipating","Cluster1",0.00934579439252336,"0.25"
"365","anticipation","Cluster1",0,"0.25"
"366","antifederal","Cluster1",0,"0.25"
"367","antipathies","Cluster1",0,"0.25"
"368","antiphilosophists","Cluster1",0.00934579439252336,"0.25"
"369","antiquity","Cluster1",0,"0.25"
"370","antirepublican","Cluster1",0.00934579439252336,"0.25"
"371","antitrust","Cluster1",0.0280373831775701,"0.25"
"372","ants","Cluster1",0,"0.25"
"373","anxieties","Cluster1",0,"0.25"
"374","anxiety","Cluster1",0.0186915887850467,"0.25"
"375","anxious","Cluster1",0.0186915887850467,"0.25"
"376","anxiously","Cluster1",0.00934579439252336,"0.25"
"377","anybody","Cluster1",0,"0.25"
"378","anymore","Cluster1",0,"0.25"
"379","anyone","Cluster1",0.00934579439252336,"0.25"
"380","anythe","Cluster1",0.00934579439252336,"0.25"
"381","anything","Cluster1",0.0186915887850467,"0.25"
"382","anywhere","Cluster1",0.00934579439252336,"0.25"
"383","apart","Cluster1",0,"0.25"
"384","apathy","Cluster1",0,"0.25"
"385","apollo","Cluster1",0,"0.25"
"386","apologize","Cluster1",0,"0.25"
"387","apology","Cluster1",0,"0.25"
"388","appalachia","Cluster1",0,"0.25"
"389","appalling","Cluster1",0.00934579439252336,"0.25"
"390","apparently","Cluster1",0,"0.25"
"391","appeal","Cluster1",0.0280373831775701,"0.25"
"392","appealthat","Cluster1",0.00934579439252336,"0.25"
"393","appear","Cluster1",0.00934579439252336,"0.25"
"394","appearance","Cluster1",0,"0.25"
